,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_chip,Categoria,Genero
0,2,146,8,00:42:10,00:42:08,Elite,Femenino
1,3,8524,10,DNS,DNS,Elite,Femenino
2,4,30,2,00:35:35,00:35:35,Elite,Femenino
3,5,8525,11,DNS,DNS,Elite,Femenino
4,6,28,1,00:35:29,00:35:29,Elite,Femenino
5,7,46,6,00:36:54,00:36:52,Elite,Femenino
6,8,34,3,00:35:51,00:35:50,Elite,Femenino
7,9,43,5,00:36:40,00:36:39,Elite,Femenino
8,10,37,4,00:36:23,00:36:21,Elite,Femenino
