,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_chip,Categoria,Genero
141,8143,1607,849,00:56:55,00:55:30,Abierta,Masculino
142,8144,4478,187,01:12:26,01:00:37,Master,Femenino
143,8145,9451,331,DNS,DNS,Plus,Femenino
144,8146,2830,1430,01:03:45,01:02:23,Abierta,Masculino
145,8147,108,54,00:40:52,00:40:28,Abierta,Masculino
146,8148,2215,329,01:00:24,00:59:40,Plus,Masculino
147,8149,1686,886,00:57:18,00:51:45,Abierta,Masculino
148,8150,1767,926,00:57:46,00:51:44,Abierta,Masculino
149,8151,2491,265,01:01:57,00:59:31,Abierta,Femenino
150,8152,1392,759,00:55:32,00:55:14,Abierta,Masculino
151,8153,0,0,DNS,DNS,Abierta,Masculino
152,8154,7759,2138,01:34:39,01:24:53,Abierta,Femenino
153,8155,7356,198,01:29:55,01:20:11,Plus,Femenino
154,8156,6266,318,01:21:58,01:16:31,Master,Femenino
155,8157,7566,2037,01:32:07,01:21:05,Abierta,Femenino
156,8158,3558,625,01:07:40,01:07:31,Master,Masculino
157,8159,6548,1556,01:23:45,01:14:10,Abierta,Femenino
158,8160,8062,2276,01:39:19,01:29:04,Abierta,Femenino
159,8161,3889,583,01:09:17,01:02:58,Abierta,Femenino
160,8162,1861,973,00:58:16,00:51:25,Abierta,Masculino
161,8163,7405,2897,01:30:21,01:15:38,Abierta,Masculino
162,8164,2267,1163,01:00:44,00:56:12,Abierta,Masculino
163,8165,1260,687,00:54:36,00:53:46,Abierta,Masculino
164,8166,67,28,00:38:42,00:38:15,Abierta,Masculino
165,8167,6578,1573,01:23:56,01:10:18,Abierta,Femenino
166,8168,3650,1765,01:08:09,01:03:49,Abierta,Masculino
167,8169,1909,989,00:58:31,00:46:42,Abierta,Masculino
168,8170,4171,662,01:10:54,01:07:35,Abierta,Femenino
169,8171,8435,282,01:53:22,01:47:54,Plus,Femenino
170,8172,7105,1829,01:27:44,01:20:18,Abierta,Femenino
171,8173,1775,929,00:57:50,00:50:23,Abierta,Masculino
172,8174,678,390,00:49:51,00:48:54,Abierta,Masculino
173,8175,3273,593,01:06:12,00:56:51,Master,Masculino
174,8176,5651,1171,01:18:29,01:17:48,Abierta,Femenino
175,8177,5885,2506,01:19:54,01:11:04,Abierta,Masculino
176,8178,4906,2219,01:14:25,01:13:10,Abierta,Masculino
177,8179,4215,582,01:11:08,01:08:30,Plus,Masculino
178,8180,0,0,DNF,DNF,Abierta,Femenino
179,8181,5043,927,01:15:04,01:13:50,Abierta,Femenino
180,8182,1159,640,00:53:54,00:51:02,Abierta,Masculino
181,8183,1930,1001,00:58:39,00:58:14,Abierta,Masculino
182,8184,2308,1179,01:01:00,00:55:28,Abierta,Masculino
183,8185,4806,2191,01:14:01,01:07:57,Abierta,Masculino
184,8186,3458,471,01:07:11,01:01:39,Abierta,Femenino
185,8187,6046,1316,01:20:49,01:19:03,Abierta,Femenino
186,8188,7949,3003,01:37:15,01:36:29,Abierta,Masculino
187,8189,5832,136,01:19:33,01:18:47,Plus,Femenino
188,8190,5364,705,01:16:53,01:11:51,Plus,Masculino
189,8191,1396,196,00:55:33,00:49:26,Plus,Masculino
190,8192,2292,1172,01:00:53,00:56:32,Abierta,Masculino
