,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_chip,Categoria,Genero
0,3001,6933,2784,01:26:23,01:14:21,Abierta,Masculino
1,3002,1287,253,00:54:49,00:53:23,Master,Masculino
2,3003,5528,861,01:17:46,01:12:32,Master,Masculino
3,3004,2072,50,00:59:34,00:59:20,Master,Femenino
4,3005,3652,520,01:08:09,01:03:51,Abierta,Femenino
5,3006,3323,1627,01:06:29,01:01:59,Abierta,Masculino
6,3007,4593,192,01:13:00,01:06:26,Master,Femenino
7,3008,3212,1575,01:05:53,00:56:15,Abierta,Masculino
8,3009,4512,86,01:12:35,01:06:56,Plus,Femenino
9,3010,5476,1097,01:17:31,01:04:11,Abierta,Femenino
10,3011,0,0,DNS,DNS,Abierta,Femenino
11,3012,7714,2113,01:34:00,01:23:58,Abierta,Femenino
12,3013,0,0,DNS,DNS,Abierta,Femenino
13,3014,2448,1250,01:01:43,00:58:18,Abierta,Masculino
14,3015,1643,863,00:57:07,00:55:55,Abierta,Masculino
15,3016,7424,1973,01:30:30,01:22:47,Abierta,Femenino
16,3017,7141,1851,01:28:03,01:20:20,Abierta,Femenino
17,3018,2862,1440,01:03:53,00:58:26,Abierta,Masculino
18,3019,643,132,00:49:35,00:48:55,Master,Masculino
19,3020,6030,2560,01:20:41,01:10:40,Abierta,Masculino
20,3021,5048,2265,01:15:05,01:09:15,Abierta,Masculino
21,3022,5068,2274,01:15:13,01:04:22,Abierta,Masculino
22,3023,4900,794,01:14:23,01:02:46,Master,Masculino
23,3024,5307,2338,01:16:35,01:08:53,Abierta,Masculino
24,3025,3162,1557,01:05:33,01:00:00,Abierta,Masculino
25,3026,5650,2436,01:18:28,01:09:14,Abierta,Masculino
26,3027,798,449,00:50:56,00:49:44,Abierta,Masculino
27,3028,8406,3091,01:50:41,01:37:14,Abierta,Masculino
28,3029,8408,2445,01:50:43,01:37:16,Abierta,Femenino
29,3030,6836,2762,01:25:39,01:12:30,Abierta,Masculino
30,3031,4280,80,01:11:30,01:07:42,Plus,Femenino
31,3032,3912,591,01:09:22,01:03:04,Abierta,Femenino
32,3033,6257,1411,01:21:56,01:08:36,Abierta,Femenino
33,3034,2408,460,01:01:32,00:57:02,Master,Masculino
34,3035,6483,2679,01:23:25,01:17:49,Abierta,Masculino
35,3036,2166,320,01:00:10,00:55:55,Plus,Masculino
36,3037,6854,1699,01:25:49,01:16:27,Abierta,Femenino
