,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_Chip,Categorial,Genero
349,412,897,111,00:51:52,00:51:50,Plus,Masculino
350,413,0,0,DNS,DNS,Abierta,Femenino
351,414,268,159,00:44:53,00:44:38,Abierta,Masculino
352,415,1468,292,00:55:58,00:54:33,Master,Masculino
353,416,3794,528,01:08:50,01:07:49,Plus,Masculino
354,417,1424,284,00:55:44,00:54:20,Master,Masculino
355,418,5276,1024,01:16:25,01:15:06,Abierta,Femenino
356,419,7426,876,01:30:31,01:30:19,Plus,Masculino
357,420,4209,1978,01:11:06,01:09:24,Abierta,Masculino
358,421,35,13,00:35:53,00:35:53,Abierta,Masculino
359,422,1678,879,00:57:16,00:56:34,Abierta,Masculino
360,423,0,0,DNS,DNS,Master,Femenino
361,424,1377,751,00:55:26,00:52:43,Abierta,Masculino
362,425,221,134,00:43:53,00:43:48,Abierta,Masculino
363,426,759,43,00:50:32,00:49:58,Abierta,Femenino
364,427,2594,1328,01:02:24,01:00:13,Abierta,Masculino
365,428,2575,1316,01:02:19,01:02:15,Abierta,Masculino
366,429,8604,1108,DNS,DNS,Master,Masculino
367,430,582,121,00:49:04,00:47:50,Master,Masculino
368,431,2679,1363,01:02:53,01:02:46,Abierta,Masculino
369,432,2182,208,01:00:14,01:00:07,Abierta,Femenino
370,433,8605,1109,DNS,DNS,Master,Masculino
371,434,2803,1417,01:03:37,01:02:32,Abierta,Masculino
372,435,0,0,DNS,DNS,Abierta,Femenino
373,436,0,0,DNS,DNS,Plus,Masculino
374,437,7445,2906,01:30:43,01:16:47,Abierta,Masculino
375,438,4460,741,01:12:21,01:11:01,Abierta,Femenino
376,439,0,0,DNS,DNS,Abierta,Masculino
377,440,8609,1110,DNS,DNS,Master,Masculino
378,441,0,0,DNS,DNS,Plus,Masculino
379,442,612,62,00:49:20,00:49:01,Plus,Masculino
380,443,635,6,00:49:31,00:49:30,Plus,Femenino
381,444,0,0,DNS,DNS,Plus,Masculino
382,445,0,0,DNS,DNS,Abierta,Femenino
383,446,1282,179,00:54:47,00:54:45,Plus,Masculino
384,447,749,423,00:50:28,00:49:52,Abierta,Masculino
385,448,716,408,00:50:10,00:48:59,Abierta,Masculino
386,449,1893,980,00:58:26,00:57:09,Abierta,Masculino
387,450,851,473,00:51:28,00:50:25,Abierta,Masculino
388,451,2298,442,01:00:55,01:00:49,Master,Masculino
389,452,7889,232,01:36:18,01:35:58,Plus,Femenino
390,453,2629,499,01:02:34,01:02:06,Master,Masculino
391,454,2200,327,01:00:21,00:58:39,Plus,Masculino
392,455,4249,585,01:11:19,01:10:53,Plus,Masculino
393,456,0,0,DNF,DNF,Master,Femenino
394,457,5812,1236,01:19:29,01:14:09,Abierta,Femenino
395,458,3816,563,01:08:54,01:02:55,Abierta,Femenino
396,459,0,0,DNS,DNS,Abierta,Masculino
397,460,1143,632,00:53:46,00:53:12,Abierta,Masculino
398,461,3719,536,01:08:26,01:07:52,Abierta,Femenino
399,462,777,11,00:50:46,00:50:11,Master,Femenino
400,463,427,246,00:47:15,00:45:55,Abierta,Masculino
401,464,6706,977,01:24:43,01:09:58,Master,Masculino
402,465,7972,236,01:37:37,01:22:53,Plus,Femenino
403,466,7072,1815,01:27:30,01:12:45,Abierta,Femenino
404,467,8614,1111,DNS,DNS,Master,Masculino
405,468,6829,827,01:25:34,01:10:50,Plus,Masculino
406,469,72,11,00:38:59,00:38:35,Master,Masculino
407,470,2357,450,01:01:14,00:57:15,Master,Masculino
408,471,1136,627,00:53:43,00:52:38,Abierta,Masculino
409,472,5928,1270,01:20:09,01:20:07,Abierta,Femenino
410,473,1344,730,00:55:16,00:53:52,Abierta,Masculino
411,474,7486,1995,01:31:02,01:30:14,Abierta,Femenino
412,475,2293,229,01:00:53,00:59:48,Abierta,Femenino
413,476,1042,18,00:53:01,00:52:52,Master,Femenino
414,477,8615,1112,DNS,DNS,Master,Masculino
415,478,2045,299,00:59:22,00:58:19,Plus,Masculino
416,479,3297,1617,01:06:20,01:06:08,Abierta,Masculino
417,480,3738,60,01:08:34,01:05:04,Plus,Femenino
418,481,2078,304,00:59:36,00:57:51,Plus,Masculino
419,482,2926,352,01:04:14,01:04:01,Abierta,Femenino
420,483,7769,2144,01:34:43,01:26:12,Abierta,Femenino
421,484,2085,1077,00:59:38,00:59:23,Abierta,Masculino
422,485,1111,151,00:53:34,00:53:33,Plus,Masculino
423,486,1859,369,00:58:15,00:58:04,Master,Masculino
424,487,4369,82,01:11:58,01:11:29,Plus,Femenino
425,488,2805,532,01:03:37,00:57:58,Master,Masculino
426,489,6677,975,01:24:32,01:12:26,Master,Masculino
427,490,4604,766,01:13:02,01:00:19,Master,Masculino
428,491,2139,417,00:59:57,00:58:46,Master,Masculino
429,492,0,0,DNS,DNS,Abierta,Masculino
430,493,1073,141,00:53:19,00:53:02,Plus,Masculino
431,494,1863,163,00:58:17,00:57:35,Abierta,Femenino
432,495,76,12,00:39:23,00:39:22,Master,Masculino
433,496,1867,164,00:58:17,00:57:35,Abierta,Femenino
434,497,1580,836,00:56:45,00:56:36,Abierta,Masculino
435,498,61,4,00:38:27,00:38:26,Plus,Masculino
436,499,5529,1124,01:17:47,01:16:34,Abierta,Femenino
437,500,1519,214,00:56:17,00:55:31,Plus,Masculino
438,501,4400,734,01:12:06,01:11:40,Master,Masculino
439,502,44,5,00:36:46,00:36:46,Master,Masculino
440,503,2127,314,00:59:54,00:59:48,Plus,Masculino
441,504,633,129,00:49:30,00:49:26,Master,Masculino
442,505,1292,703,00:54:51,00:54:05,Abierta,Masculino
443,506,5150,689,01:15:39,01:15:32,Plus,Masculino
444,507,2612,285,01:02:29,01:01:12,Abierta,Femenino
445,508,2614,498,01:02:30,01:01:12,Master,Masculino
446,509,488,50,00:47:58,00:47:53,Plus,Masculino
447,510,2734,1386,01:03:12,01:03:03,Abierta,Masculino
448,511,4476,745,01:12:25,01:12:17,Abierta,Femenino
449,512,1137,156,00:53:43,00:53:38,Plus,Masculino
450,513,5166,248,01:15:45,01:14:59,Master,Femenino
451,514,4082,1932,01:10:22,01:10:14,Abierta,Masculino
452,515,0,0,DNS,DNS,Master,Femenino
453,516,3360,1643,01:06:40,01:06:28,Abierta,Masculino
454,517,8618,1113,DNS,DNS,Master,Masculino
455,518,3414,461,01:06:59,01:06:50,Abierta,Femenino
456,519,3226,427,01:05:57,01:05:43,Abierta,Femenino
457,520,1443,778,00:55:50,00:54:44,Abierta,Masculino
458,521,5861,898,01:19:44,01:10:03,Master,Masculino
459,522,0,0,DSQ,DSQ,Abierta,Femenino
460,523,1938,384,00:58:41,00:57:24,Master,Masculino
461,524,92,43,00:40:21,00:40:17,Abierta,Masculino
462,525,278,47,00:45:02,00:44:58,Master,Masculino
463,526,3402,612,01:06:55,01:06:45,Master,Masculino
464,527,489,286,00:47:59,00:47:53,Abierta,Masculino
465,528,287,172,00:45:10,00:44:36,Abierta,Masculino
466,529,3048,380,01:04:59,01:03:53,Abierta,Femenino
467,530,1160,641,00:53:55,00:52:43,Abierta,Masculino
468,531,419,16,00:47:09,00:46:20,Abierta,Femenino
469,532,1247,246,00:54:29,00:53:14,Master,Masculino
470,533,3588,503,01:07:47,01:07:29,Plus,Masculino
471,534,52,22,00:37:27,00:37:00,Abierta,Masculino
472,535,1154,77,00:53:52,00:53:14,Abierta,Femenino
473,536,904,113,00:51:54,00:50:39,Plus,Masculino
474,537,5555,1138,01:17:58,01:07:52,Abierta,Femenino
475,538,859,178,00:51:30,00:50:58,Master,Masculino
476,539,4105,698,01:10:29,01:09:32,Master,Masculino
477,540,1179,651,00:54:01,00:52:43,Abierta,Masculino
478,541,3388,474,01:06:48,01:05:03,Plus,Masculino
479,542,1783,40,00:57:52,00:56:13,Master,Femenino
480,543,8619,1114,DNS,DNS,Master,Masculino
481,544,2102,51,00:59:45,00:59:38,Master,Femenino
482,545,7529,213,01:31:37,01:22:39,Plus,Femenino
483,546,992,551,00:52:39,00:52:30,Abierta,Masculino
484,547,1401,762,00:55:37,00:54:10,Abierta,Masculino
485,548,909,56,00:51:57,00:51:47,Abierta,Femenino
486,549,1799,257,00:57:57,00:56:23,Plus,Masculino
487,550,4819,655,01:14:03,01:12:38,Plus,Masculino
488,551,3192,103,01:05:45,01:05:37,Master,Femenino
489,552,3168,415,01:05:34,01:03:55,Abierta,Femenino
490,553,193,21,00:43:18,00:43:16,Plus,Masculino
491,554,8620,1115,DNS,DNS,Master,Masculino
492,555,1490,297,00:56:06,00:53:23,Master,Masculino
493,556,1523,110,00:56:18,00:56:08,Abierta,Femenino
494,557,1076,208,00:53:20,00:53:13,Master,Masculino
495,558,3827,534,01:08:57,01:08:33,Plus,Masculino
496,559,71,31,00:38:54,00:38:53,Abierta,Masculino
497,560,4625,636,01:13:09,01:07:22,Plus,Masculino
498,561,0,0,DNS,DNS,Abierta,Femenino
499,562,5721,132,01:18:55,01:14:48,Plus,Femenino
500,563,1890,275,00:58:25,00:56:35,Plus,Masculino
501,564,4203,581,01:11:05,01:10:58,Plus,Masculino
502,565,395,77,00:46:50,00:46:08,Master,Masculino
503,566,1393,273,00:55:32,00:54:20,Master,Masculino
504,567,522,307,00:48:22,00:46:53,Abierta,Masculino
505,568,7666,2089,01:33:27,01:24:30,Abierta,Femenino
506,569,0,0,DNS,DNS,Abierta,Femenino
507,570,2952,85,01:04:21,01:01:52,Master,Femenino
508,571,327,36,00:45:50,00:45:40,Plus,Masculino
509,572,1843,965,00:58:10,00:57:08,Abierta,Masculino
510,573,4761,829,01:13:47,01:05:00,Abierta,Femenino
511,574,8623,1116,DNS,DNS,Master,Masculino
512,575,1562,830,00:56:36,00:56:26,Abierta,Masculino
513,576,773,160,00:50:44,00:50:35,Master,Masculino
514,577,3237,454,01:06:00,01:00:29,Plus,Masculino
515,578,0,0,DNS,DNS,Plus,Masculino
516,579,4991,237,01:14:49,01:14:44,Master,Femenino
517,580,1828,261,00:58:05,00:57:55,Plus,Masculino
518,581,8625,1117,DNS,DNS,Master,Masculino
519,582,8626,1118,DNS,DNS,Master,Masculino
520,583,3879,1850,01:09:14,01:00:25,Abierta,Masculino
521,584,8063,248,01:39:19,01:39:18,Plus,Femenino
522,585,309,35,00:45:36,00:44:43,Plus,Masculino
523,586,2026,400,00:59:15,00:54:33,Master,Masculino
524,587,3025,1502,01:04:49,01:04:41,Abierta,Masculino
525,588,1039,577,00:53:00,00:50:30,Abierta,Masculino
526,589,4073,1927,01:10:16,00:58:49,Abierta,Masculino
