,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_chip,Categoria,Genero
0,11151,6086,1334,01:21:00,01:10:27,Abierta,Femenino
1,11152,2784,527,01:03:30,00:59:18,Master,Masculino
2,11153,6897,1720,01:26:08,01:16:01,Abierta,Femenino
3,11154,8071,2283,01:39:29,01:29:21,Abierta,Femenino
4,11155,7724,2120,01:34:08,01:24:01,Abierta,Femenino
5,11156,7613,2062,01:32:46,01:28:39,Abierta,Femenino
6,11157,0,0,DNS,DNS,Abierta,Masculino
7,11158,3933,1875,01:09:27,01:00:07,Abierta,Masculino
8,11159,500,51,00:48:07,00:47:22,Plus,Masculino
9,11160,6433,1499,01:23:02,01:12:21,Abierta,Femenino
10,11161,6717,2730,01:24:48,01:17:35,Abierta,Masculino
11,11162,1945,385,00:58:44,00:58:30,Master,Masculino
12,11163,8237,2367,01:43:20,01:31:58,Abierta,Femenino
13,11164,8238,2368,01:43:21,01:31:59,Abierta,Femenino
14,11165,6191,2609,01:21:36,01:14:38,Abierta,Masculino
15,11166,1782,933,00:57:52,00:57:41,Abierta,Masculino
16,11167,2868,542,01:03:54,01:03:31,Master,Masculino
17,11168,7475,1990,01:30:53,01:30:32,Abierta,Femenino
18,11169,1114,614,00:53:36,00:53:20,Abierta,Masculino
19,11170,1293,89,00:54:51,00:54:32,Abierta,Femenino
20,11171,617,358,00:49:21,00:48:52,Abierta,Masculino
21,11172,5336,701,01:16:45,01:08:46,Plus,Masculino
22,11173,482,281,00:47:56,00:45:31,Abierta,Masculino
23,11174,6584,2697,01:23:58,01:10:35,Abierta,Masculino
24,11175,3789,553,01:08:50,01:02:19,Abierta,Femenino
25,11176,4839,2198,01:14:08,01:11:31,Abierta,Masculino
26,11177,5339,2345,01:16:45,01:10:15,Abierta,Masculino
27,11178,8301,2396,01:45:12,01:35:13,Abierta,Femenino
28,11179,999,133,00:52:43,00:52:23,Plus,Masculino
29,11180,5392,1064,01:17:04,01:05:00,Abierta,Femenino
30,11181,0,0,DNS,DNS,Abierta,Femenino
31,11182,2625,1340,01:02:33,00:57:36,Abierta,Masculino
32,11183,6868,991,01:25:57,01:17:55,Master,Masculino
33,11184,7757,2964,01:34:38,01:27:31,Abierta,Masculino
34,11185,143,79,00:42:07,00:41:43,Abierta,Masculino
35,11186,297,49,00:45:21,00:44:41,Master,Masculino
36,11187,224,2,00:43:55,00:43:55,Master,Femenino
37,11188,3119,402,01:05:19,01:04:56,Abierta,Femenino
38,11189,3560,1731,01:07:40,01:05:41,Abierta,Masculino
39,11190,1270,694,00:54:41,00:52:29,Abierta,Masculino
40,11191,6642,1602,01:24:16,01:12:37,Abierta,Femenino
41,11192,1507,109,00:56:11,00:55:48,Abierta,Femenino
42,11193,5055,932,01:15:08,01:14:45,Abierta,Femenino
43,11194,3559,500,01:07:40,00:56:13,Plus,Masculino
44,11195,0,0,DNS,DNS,Abierta,Masculino
45,11196,0,0,DNS,DNS,Abierta,Femenino
46,11197,1800,20,00:57:57,00:57:08,Plus,Femenino
47,11198,4292,592,01:11:33,01:10:43,Plus,Masculino
48,11199,2990,419,01:04:36,00:55:01,Plus,Masculino
49,11200,6880,2771,01:26:03,01:15:52,Abierta,Masculino
50,11201,0,0,DNS,DNS,Abierta,Masculino
51,11202,8359,520,01:47:43,01:34:06,Master,Femenino
52,11203,0,0,DNS,DNS,Abierta,Masculino
53,11204,6355,1460,01:22:35,01:16:01,Abierta,Femenino
54,11205,7429,1975,01:30:34,01:17:08,Abierta,Femenino
55,11206,6159,1364,01:21:26,01:10:31,Abierta,Femenino
56,11207,0,0,DNS,DNS,Abierta,Femenino
57,11208,1162,78,00:53:55,00:53:36,Abierta,Femenino
58,11209,6958,1758,01:26:36,01:18:39,Abierta,Femenino
59,11210,1110,216,00:53:34,00:52:42,Master,Masculino
60,11211,4350,2031,01:11:53,01:02:12,Abierta,Masculino
61,11212,3844,1835,01:09:02,00:58:36,Abierta,Masculino
62,11213,6165,148,01:21:28,01:14:19,Plus,Femenino
63,11214,5656,1172,01:18:31,01:08:41,Abierta,Femenino
64,11215,7709,1052,01:33:57,01:20:04,Master,Masculino
65,11216,186,112,00:43:09,00:42:46,Abierta,Masculino
66,11217,5399,1067,01:17:07,01:16:44,Abierta,Femenino
67,11218,7557,2930,01:32:03,01:22:16,Abierta,Masculino
68,11219,6049,2567,01:20:50,01:18:35,Abierta,Masculino
69,11220,7107,1009,01:27:45,01:15:53,Master,Masculino
70,11221,8261,2376,01:43:49,01:31:58,Abierta,Femenino
71,11222,5327,843,01:16:42,01:16:16,Master,Masculino
72,11223,0,0,DNS,DNS,Abierta,Masculino
73,11224,4045,1914,01:10:03,01:06:49,Abierta,Masculino
74,11225,0,0,DNS,DNS,Abierta,Masculino
75,11226,2808,78,01:03:38,01:03:30,Master,Femenino
76,11227,4730,818,01:13:38,01:13:14,Abierta,Femenino
77,11228,3412,120,01:06:59,01:06:18,Master,Femenino
78,11229,294,4,00:45:17,00:45:16,Master,Femenino
79,11230,1044,19,00:53:01,00:52:39,Master,Femenino
80,11231,1606,322,00:56:54,00:56:16,Master,Masculino
81,11232,4339,2024,01:11:49,01:01:44,Abierta,Masculino
82,11233,2255,1155,01:00:36,00:59:24,Abierta,Masculino
83,11234,4869,872,01:14:15,01:04:38,Abierta,Femenino
84,11235,1197,233,00:54:09,00:53:18,Master,Masculino
85,11236,720,85,00:50:11,00:50:01,Plus,Masculino
86,11237,0,0,DNS,DNS,Abierta,Masculino
87,11238,333,61,00:45:54,00:45:29,Master,Masculino
88,11239,4041,627,01:10:01,01:09:54,Abierta,Femenino
89,11240,3210,584,01:05:52,01:05:42,Master,Masculino
90,11241,1156,224,00:53:53,00:51:16,Master,Masculino
91,11242,389,230,00:46:46,00:46:43,Abierta,Masculino
92,11243,4793,2188,01:13:57,01:08:31,Abierta,Masculino
93,11244,2400,348,01:01:30,01:01:15,Plus,Masculino
94,11245,8120,493,01:40:26,01:28:47,Master,Femenino
95,11246,748,154,00:50:28,00:49:58,Master,Masculino
96,11247,179,106,00:43:02,00:42:08,Abierta,Masculino
97,11248,2332,1190,01:01:07,01:00:36,Abierta,Masculino
98,11249,3355,470,01:06:39,01:06:28,Plus,Masculino
99,11250,306,179,00:45:33,00:44:55,Abierta,Masculino
100,11251,7117,1834,01:27:49,01:17:06,Abierta,Femenino
101,11252,132,13,00:41:54,00:41:29,Plus,Masculino
102,11253,0,0,DNS,DNS,Abierta,Masculino
103,11254,578,336,00:49:01,00:46:46,Abierta,Masculino
104,11255,2191,1123,01:00:19,00:51:20,Abierta,Masculino
105,11256,7907,2990,01:36:35,01:24:40,Abierta,Masculino
106,11257,5568,2407,01:18:02,01:09:02,Abierta,Masculino
107,11258,5062,2272,01:15:10,01:14:59,Abierta,Masculino
108,11259,8132,2313,01:40:42,01:27:31,Abierta,Femenino
109,11260,7919,2216,01:36:41,01:27:49,Abierta,Femenino
110,11261,1630,857,00:57:01,00:52:56,Abierta,Masculino
111,11262,7906,2210,01:36:35,01:24:40,Abierta,Femenino
112,11263,7309,1917,01:29:29,01:16:48,Abierta,Femenino
113,11264,4498,2084,01:12:31,00:58:59,Abierta,Masculino
114,11265,0,0,DNS,DNS,Abierta,Masculino
115,11266,0,0,DNS,DNS,Abierta,Masculino
116,11267,7862,2190,01:35:59,01:23:17,Abierta,Femenino
117,11268,7864,2191,01:35:59,01:23:18,Abierta,Femenino
118,11269,0,0,DNS,DNS,Abierta,Femenino
119,11270,7478,2919,01:30:56,01:22:59,Abierta,Masculino
120,11271,5379,1055,01:16:59,01:10:11,Abierta,Femenino
121,11272,6574,1570,01:23:54,01:15:31,Abierta,Femenino
122,11273,2987,1487,01:04:35,01:03:41,Abierta,Masculino
123,11274,7917,2215,01:36:39,01:30:23,Abierta,Femenino
124,11275,8266,3064,01:44:00,01:29:18,Abierta,Masculino
125,11276,8344,516,01:47:04,01:32:20,Master,Femenino
126,11277,5970,2542,01:20:23,01:12:54,Abierta,Masculino
127,11278,0,0,DNS,DNS,Master,Femenino
