,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_chip,Categoria,Genero
0,7837,0,0,DNS,DNS,Abierta,Masculino
1,7838,2475,1262,01:01:51,00:57:13,Abierta,Masculino
2,7839,0,0,DNS,DNS,Abierta,Masculino
3,7840,8050,2270,01:39:03,01:23:53,Abierta,Femenino
4,7841,0,0,DNS,DNS,Abierta,Masculino
5,7842,0,0,DNS,DNS,Abierta,Masculino
6,7843,6595,2698,01:24:01,01:11:10,Abierta,Masculino
7,7844,3197,1572,01:05:47,00:52:39,Abierta,Masculino
8,7845,1132,624,00:53:42,00:50:14,Abierta,Masculino
9,7846,4198,713,01:11:03,01:03:35,Master,Masculino
10,7847,2511,1279,01:02:02,00:54:53,Abierta,Masculino
11,7848,5168,976,01:15:45,01:05:50,Abierta,Femenino
12,7849,7911,2212,01:36:38,01:22:47,Abierta,Femenino
13,7850,1040,578,00:53:00,00:51:22,Abierta,Masculino
14,7851,7908,2991,01:36:36,01:22:45,Abierta,Masculino
15,7852,3824,64,01:08:56,01:07:51,Plus,Femenino
16,7853,2122,312,00:59:53,00:58:46,Plus,Masculino
17,7854,8152,2321,01:41:22,01:27:30,Abierta,Femenino
18,7856,9440,329,DNS,DNS,Plus,Femenino
19,7857,0,0,DNS,DNS,Abierta,Masculino
20,7858,3911,68,01:09:22,01:09:22,Plus,Femenino
21,7859,9442,1223,DNS,DNS,Master,Masculino
22,7860,1349,267,00:55:17,00:50:00,Master,Masculino
23,7861,2680,510,01:02:54,00:59:31,Master,Masculino
24,7862,2346,1200,01:01:11,00:58:21,Abierta,Masculino
25,7863,812,12,00:51:04,00:50:26,Master,Femenino
26,7864,4510,2091,01:12:35,01:01:04,Abierta,Masculino
27,7865,1615,325,00:56:57,00:55:39,Master,Masculino
28,7866,3433,1671,01:07:04,01:05:42,Abierta,Masculino
29,7867,3670,639,01:08:13,01:03:09,Master,Masculino
30,7868,5320,2341,01:16:38,01:04:48,Abierta,Masculino
31,7869,3699,514,01:08:21,01:04:53,Plus,Masculino
32,7870,1648,866,00:57:08,00:54:49,Abierta,Masculino
33,7871,6158,778,01:21:26,01:20:45,Plus,Masculino
34,7872,7776,228,01:34:46,01:24:49,Plus,Femenino
35,7873,90,41,00:40:19,00:40:14,Abierta,Masculino
